City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
2,Banda Aceh,ID,80.4,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
6,Datong,CN,69.37,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
8,Rikitea,PF,73.94,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Caravelas,BR,70.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
11,Itarema,BR,77.9,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,Bandarbeyla,SO,78.82,overcast clouds,9.4942,50.8122,JABIR HOTEL
14,San-Pedro,CI,74.39,overcast clouds,4.7485,-6.6363,Hotel Maria
15,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
16,Provost,CA,73.85,clear sky,52.3501,-110.2683,Canalta Hotel Provost
18,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Albany,US,72.39,few clouds,42.6001,-73.9662,
21,Mitu,CO,72.05,overcast clouds,1.1983,-70.1733,
27,Pitsunda,GE,71.78,clear sky,43.1592,40.3378,Hotel FREEDOM
29,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
30,Arraial Do Cabo,BR,70.11,light rain,-22.9661,-42.0278,Pousada Porto Praia
31,Alyangula,AU,78.57,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
35,Basna,IN,74.64,overcast clouds,21.2833,82.8167,Hotel Grand Alfa [BASNA]
39,Basco,PH,84.63,broken clouds,20.4487,121.9702,Nathaniel's Lodge
40,Akyab,MM,78.91,light rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
41,Srednekolymsk,RU,75.79,clear sky,67.45,153.6833,
42,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
47,Beyneu,KZ,76.82,clear sky,45.3167,55.2,NUR
48,Wattegama,LK,74.25,overcast clouds,6.7989,81.4808,
50,Kittery,US,70.75,overcast clouds,43.0881,-70.7362,Sheraton Portsmouth Harborside Hotel
