City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Mataura,NZ,2022-08-10 01:22:07,-46.1927,168.8643,46.47,67,100,3.8,overcast clouds,0.0,0.0
1,The Valley,AI,2022-08-10 01:23:15,18.217,-63.0578,83.1,79,98,18.97,overcast clouds,0.0,0.0
2,Banda Aceh,ID,2022-08-10 01:23:16,5.5577,95.3222,80.4,78,100,11.39,overcast clouds,0.0,0.0
3,Nikolskoye,RU,2022-08-10 01:23:16,59.7035,30.7861,56.8,82,58,0.72,broken clouds,0.0,0.0
4,Lyngseidet,NO,2022-08-10 01:23:17,69.5763,20.2189,48.2,81,100,2.42,overcast clouds,0.0,0.0
5,Olafsvik,IS,2022-08-10 01:23:17,64.8945,-23.7142,49.73,92,99,18.66,overcast clouds,0.0,0.0
6,Datong,CN,2022-08-10 01:23:17,40.0936,113.2914,69.37,67,99,3.69,overcast clouds,0.0,0.0
7,Ushuaia,AR,2022-08-10 01:20:36,-54.8,-68.3,42.46,61,40,2.3,scattered clouds,0.0,0.0
8,Rikitea,PF,2022-08-10 01:23:18,-23.1203,-134.9692,73.94,80,100,16.71,overcast clouds,0.0,0.0
9,Mar Del Plata,AR,2022-08-10 01:23:18,-38.0023,-57.5575,48.87,83,0,6.91,clear sky,0.0,0.0
10,Caravelas,BR,2022-08-10 01:23:19,-17.7125,-39.2481,70.43,81,6,6.33,clear sky,0.0,0.0
11,Itarema,BR,2022-08-10 01:23:19,-2.9248,-39.9167,77.9,81,97,15.97,overcast clouds,0.0,0.0
12,Bandarbeyla,SO,2022-08-10 01:23:19,9.4942,50.8122,78.82,68,99,25.88,overcast clouds,0.0,0.0
13,Provideniya,RU,2022-08-10 01:23:20,64.3833,-173.3,48.36,87,75,15.99,broken clouds,0.0,0.0
14,San-Pedro,CI,2022-08-10 01:23:20,4.7485,-6.6363,74.39,83,100,9.78,overcast clouds,0.0,0.0
15,Iquitos,PE,2022-08-10 01:23:20,-3.7481,-73.2472,75.24,100,75,2.3,broken clouds,0.0,0.0
16,Provost,CA,2022-08-10 01:23:21,52.3501,-110.2683,73.85,44,0,6.06,clear sky,0.0,0.0
17,Fairbanks,US,2022-08-10 01:23:21,64.8378,-147.7164,54.09,66,100,8.05,light rain,0.0,0.0
18,Puerto Ayora,EC,2022-08-10 01:23:21,-0.7393,-90.3518,69.55,87,90,4.0,overcast clouds,0.0,0.0
